dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,1,52,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.63,0.62996299629963004,0.63,0.61847960806347846,0.42768733350530153,0.13213871481694489,0.62,0.64000000000000001
openbmi,chronological,1,54,LRCM,0.51000000000000001,0.50157664530566581,0.51000000000000001,0.7825809892809632,0.55111272977249515,0.093016533549239652,0.64000000000000001,0.38
openbmi,chronological,1,54,IDENTITY_RESIDUAL_CARRY,0.44999999999999996,0.4373401534526854,0.45000000000000001,0.98232934229706115,0.62344552460828073,0.22096754369262142,0.59999999999999998,0.29999999999999999
openbmi,chronological,1,54,PAST_PROTOTYPE_DIRECT,0.44,0.42528735632183912,0.44,0.95834513093948492,0.61599173240757066,0.22290381127696737,0.59999999999999998,0.28000000000000003
openbmi,chronological,1,54,POPULATION_ONLY,0.52000000000000002,0.51923076923076916,0.52000000000000002,0.75061401408500605,0.53816585479787815,0.080030644881383062,0.56000000000000005,0.47999999999999998
openbmi,chronological,1,54,FULL_RIDGE_TRANSFER,0.51000000000000001,0.50157664530566581,0.51000000000000001,0.78066141603063466,0.55007115954847774,0.091650545020039692,0.64000000000000001,0.38
openbmi,chronological,1,54,ENROLLMENT_PCA_TRANSFER,0.51000000000000001,0.49872122762148341,0.51000000000000001,0.78669145348729419,0.55150225545405396,0.095213354098928588,0.66000000000000003,0.35999999999999999
openbmi,chronological,1,54,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.52000000000000002,0.51923076923076916,0.52000000000000002,0.75061401408500605,0.53816585479787815,0.080030644881383062,0.56000000000000005,0.47999999999999998
openbmi,chronological,2,1,LRCM,0.66000000000000003,0.65503246753246747,0.66000000000000003,0.68605021335522465,0.46126641689843645,0.12905825858021419,0.78000000000000003,0.54000000000000004
openbmi,chronological,2,1,IDENTITY_RESIDUAL_CARRY,0.60999999999999999,0.60329569728410126,0.60999999999999999,0.89202803062872238,0.52990191652855534,0.15644767980871213,0.73999999999999999,0.47999999999999998
openbmi,chronological,2,1,PAST_PROTOTYPE_DIRECT,0.63,0.62546816479400746,0.63,0.82366980607605544,0.50675847386765305,0.14706740808510832,0.73999999999999999,0.52000000000000002
openbmi,chronological,2,1,POPULATION_ONLY,0.66000000000000003,0.65320277437780494,0.66000000000000003,0.7082520251026907,0.47323877700279871,0.12184634465207117,0.80000000000000004,0.52000000000000002
openbmi,chronological,2,1,FULL_RIDGE_TRANSFER,0.66000000000000003,0.65503246753246747,0.66000000000000003,0.68576171195556546,0.4609135499397346,0.12490773891231408,0.78000000000000003,0.54000000000000004
openbmi,chronological,2,1,ENROLLMENT_PCA_TRANSFER,0.66000000000000003,0.65503246753246747,0.66000000000000003,0.68505009156562613,0.46048232591651717,0.12691336186279129,0.78000000000000003,0.54000000000000004
