half,component,subject,J_s,T_J
A,sensor,43,0.009242384943308979,0.08280633124228906
A,sensor,44,-1.2537497493340855,0.08280633124228906
A,sensor,45,1.1873552842661188,0.08280633124228906
A,sensor,46,0.18386614585633665,0.08280633124228906
A,sensor,47,1.2077321590437855,0.08280633124228906
A,sensor,48,-0.0918643444721825,0.08280633124228906
A,sensor,49,-2.1068268612229124,0.08280633124228906
A,sensor,50,0.5948506347481812,0.08280633124228906
A,sensor,51,-0.5362503675257952,0.08280633124228906
A,sensor,52,0.2841419902226514,0.08280633124228906
A,sensor,53,-0.7041763008832731,0.08280633124228906
A,sensor,54,0.13161435797754883,0.08280633124228906
A,full,1,0.06388091088747316,0.08160137819107005
A,full,2,-0.15135628629196707,0.08160137819107005
A,full,3,0.3606292358516031,0.08160137819107005
A,full,4,-0.17484006509204353,0.08160137819107005
A,full,5,-0.09167778328650755,0.08160137819107005
A,full,6,-0.46698431956828446,0.08160137819107005
A,full,7,-0.6377762404189251,0.08160137819107005
A,full,8,-0.5837200130443452,0.08160137819107005
A,full,9,0.010702638951272436,0.08160137819107005
A,full,10,-0.11212988480243691,0.08160137819107005
A,full,11,-0.11122474189853793,0.08160137819107005
A,full,12,-0.27530742080509585,0.08160137819107005
A,full,13,0.5554768924151743,0.08160137819107005
A,full,14,0.13826341649988683,0.08160137819107005
A,full,15,0.4758889845724219,0.08160137819107005
A,full,16,-0.19569438242210357,0.08160137819107005
A,full,17,0.15573528521364155,0.08160137819107005
A,full,18,0.40121686529921374,0.08160137819107005
A,full,19,2.175163344836807,0.08160137819107005
A,full,20,-0.14936568976313835,0.08160137819107005
A,full,21,0.35411798891822954,0.08160137819107005
A,full,22,1.3955683568877029,0.08160137819107005
A,full,23,0.8513247160816528,0.08160137819107005
A,full,24,-0.07921876435236364,0.08160137819107005
A,full,25,-0.014929984110937933,0.08160137819107005
A,full,26,0.1404602296120202,0.08160137819107005
A,full,27,-0.09827860675153,0.08160137819107005
A,full,28,-0.12546362255988874,0.08160137819107005
A,full,29,-0.19873073388672902,0.08160137819107005
A,full,30,0.2628931321069846,0.08160137819107005
A,full,31,-0.8620822042449112,0.08160137819107005
A,full,32,0.10620956927019665,0.08160137819107005
A,full,33,0.682669305784964,0.08160137819107005
A,full,34,-0.06901726977556355,0.08160137819107005
A,full,35,0.0772434950715093,0.08160137819107005
A,full,36,0.2592063806691497,0.08160137819107005
A,full,37,0.3071149385585791,0.08160137819107005
A,full,38,0.6332718831913209,0.08160137819107005
A,full,39,0.2938485841390175,0.08160137819107005
A,full,40,0.16701174359171844,0.08160137819107005
A,full,41,0.10860565707359005,0.08160137819107005
A,full,42,0.1468550702436935,0.08160137819107005
A,full,43,0.3581941271441601,0.08160137819107005
A,full,44,-1.2308599906680506,0.08160137819107005
A,full,45,0.8547666367042225,0.08160137819107005
A,full,46,0.06500344939382274,0.08160137819107005
A,full,47,0.8271540027569396,0.08160137819107005
A,full,48,-0.021831452795628148,0.08160137819107005
A,full,49,-1.8210715109733067,0.08160137819107005
A,full,50,0.42632993744564285,0.08160137819107005
A,full,51,-0.352809982920841,0.08160137819107005
A,full,52,0.15848768587354245,0.08160137819107005
A,full,53,-0.7589084798941488,0.08160137819107005
A,full,54,0.1764593875989151,0.08160137819107005
A,len,1,0.0008011647611477629,0.005125510973418612
A,len,2,-0.04561545695371163,0.005125510973418612
A,len,3,0.052305857728719,0.005125510973418612
A,len,4,-0.0187575362319546,0.005125510973418612
A,len,5,-0.014049541318674516,0.005125510973418612
A,len,6,0.013231011112898483,0.005125510973418612
A,len,7,0.011165320759398377,0.005125510973418612
A,len,8,-0.03965481676732128,0.005125510973418612
A,len,9,-0.029132260643800603,0.005125510973418612
A,len,10,0.0065519521161459815,0.005125510973418612
A,len,11,0.006279673473565638,0.005125510973418612
A,len,12,0.037630914012253616,0.005125510973418612
A,len,13,-0.12835430728665492,0.005125510973418612
A,len,14,0.0212274175989388,0.005125510973418612
A,len,15,-0.012957775517278128,0.005125510973418612
A,len,16,-0.019470628589556588,0.005125510973418612
A,len,17,0.0004523796806921304,0.005125510973418612
